id,name,scientificName,family,category,subCategory,genus,species,sunlight,watering,difficulty,airPurifying,petSafe,description
laurentii_snake_plant,Laurentii Snake Plant,Dracaena trifasciata 'Laurentii',Asparagaceae,Indoor Plant,Foliage,Dracaena,trifasciata,Low to Bright,Low,Easy,Yes,No,Yellow-edged snake plant.
moonshine_snake_plant,Moonshine Snake Plant,Dracaena trifasciata 'Moonshine',Asparagaceae,Indoor Plant,Foliage,Dracaena,trifasciata,Bright Indirect,Low,Easy,Yes,No,Silver-green foliage.
black_coral_snake_plant,Black Coral Snake Plant,Dracaena trifasciata 'Black Coral',Asparagaceae,Indoor Plant,Foliage,Dracaena,trifasciata,Low to Bright,Low,Easy,Yes,No,Dark striped leaves.
whale_fin_snake_plant,Whale Fin Snake Plant,Dracaena masoniana,Asparagaceae,Indoor Plant,Foliage,Dracaena,masoniana,Bright Indirect,Low,Easy,Yes,No,Single giant paddle-shaped leaf.
zz_plant,ZZ Plant,Zamioculcas zamiifolia,Araceae,Indoor Plant,Foliage,Zamioculcas,zamiifolia,Low to Bright,Low,Easy,Yes,No,Extremely hardy indoor plant.
raven_zz,Raven ZZ Plant,Zamioculcas zamiifolia 'Raven',Araceae,Indoor Plant,Foliage,Zamioculcas,zamiifolia,Low to Bright,Low,Easy,Yes,No,Black glossy foliage.
peace_lily,Peace Lily,Spathiphyllum wallisii,Araceae,Indoor Plant,Flowering,Spathiphyllum,wallisii,Low to Bright,Medium,Easy,Yes,No,Popular flowering indoor plant.
domino_peace_lily,Domino Peace Lily,Spathiphyllum 'Domino',Araceae,Indoor Plant,Flowering,Spathiphyllum,wallisii,Bright Indirect,Medium,Easy,Yes,No,White variegated foliage.
spider_plant,Spider Plant,Chlorophytum comosum,Asparagaceae,Indoor Plant,Foliage,Chlorophytum,comosum,Bright Indirect,Medium,Easy,Yes,Yes,Excellent beginner plant.
monstera_deliciosa,Monstera Deliciosa,Monstera deliciosa,Araceae,Indoor Plant,Foliage,Monstera,deliciosa,Bright Indirect,Medium,Easy,Yes,No,Large split-leaf tropical plant.
monstera_adansonii,Monstera Adansonii,Monstera adansonii,Araceae,Indoor Plant,Climber,Monstera,adansonii,Bright Indirect,Medium,Medium,Yes,No,Swiss cheese vine with perforated leaves.
philodendron_heartleaf,Heartleaf Philodendron,Philodendron hederaceum,Araceae,Indoor Plant,Climber,Philodendron,hederaceum,Bright Indirect,Medium,Easy,Yes,No,Popular trailing indoor vine.
philodendron_brasil,Philodendron Brasil,Philodendron hederaceum 'Brasil',Araceae,Indoor Plant,Foliage,Philodendron,hederaceum,Bright Indirect,Medium,Easy,Yes,No,Green and yellow variegated leaves.
philodendron_birkin,Philodendron Birkin,Philodendron 'Birkin',Araceae,Indoor Plant,Foliage,Philodendron,Birkin,Bright Indirect,Medium,Medium,Yes,No,White striped foliage.
philodendron_imperial_green,Philodendron Imperial Green,Philodendron erubescens,Araceae,Indoor Plant,Foliage,Philodendron,erubescens,Bright Indirect,Medium,Easy,Yes,No,Large glossy green leaves.
philodendron_imperial_red,Philodendron Imperial Red,Philodendron erubescens 'Imperial Red',Araceae,Indoor Plant,Foliage,Philodendron,erubescens,Bright Indirect,Medium,Medium,Yes,No,Dark burgundy foliage.
philodendron_selloum,Philodendron Selloum,Thaumatophyllum bipinnatifidum,Araceae,Indoor Plant,Foliage,Thaumatophyllum,bipinnatifidum,Bright Indirect,Medium,Medium,Yes,No,Large deeply lobed leaves.
aglaonema_silver_bay,Aglaonema Silver Bay,Aglaonema 'Silver Bay',Araceae,Indoor Plant,Foliage,Aglaonema,Silver Bay,Low to Bright,Medium,Easy,Yes,No,Chinese evergreen with silver leaves.
aglaonema_red,Red Aglaonema,Aglaonema commutatum,Araceae,Indoor Plant,Foliage,Aglaonema,commutatum,Low to Bright,Medium,Easy,Yes,No,Red and green ornamental foliage.
aglaonema_pink,Pink Aglaonema,Aglaonema 'Pink Dalmatian',Araceae,Indoor Plant,Foliage,Aglaonema,Pink Dalmatian,Bright Indirect,Medium,Easy,Yes,No,Pink speckled leaves.
dieffenbachia_camille,Dieffenbachia Camille,Dieffenbachia seguine 'Camille',Araceae,Indoor Plant,Foliage,Dieffenbachia,seguine,Bright Indirect,Medium,Easy,Yes,No,Cream-centered decorative foliage.
dieffenbachia_tropic_snow,Dieffenbachia Tropic Snow,Dieffenbachia seguine,Araceae,Indoor Plant,Foliage,Dieffenbachia,seguine,Bright Indirect,Medium,Easy,Yes,No,Large variegated leaves.
croton_petra,Croton Petra,Codiaeum variegatum 'Petra',Euphorbiaceae,Indoor Plant,Foliage,Codiaeum,variegatum,Bright Light,Medium,Medium,No,No,Colorful ornamental foliage.
croton_gold_dust,Croton Gold Dust,Codiaeum variegatum 'Gold Dust',Euphorbiaceae,Indoor Plant,Foliage,Codiaeum,variegatum,Bright Light,Medium,Medium,No,No,Yellow speckled leaves.
rubber_plant,Rubber Plant,Ficus elastica,Moraceae,Indoor Plant,Foliage,Ficus,elastica,Bright Indirect,Medium,Easy,Yes,No,Glossy broad-leaf indoor tree.
rubber_burgundy,Rubber Plant Burgundy,Ficus elastica 'Burgundy',Moraceae,Indoor Plant,Foliage,Ficus,elastica,Bright Indirect,Medium,Easy,Yes,No,Dark burgundy foliage.
fiddle_leaf_fig,Fiddle Leaf Fig,Ficus lyrata,Moraceae,Indoor Plant,Foliage,Ficus,lyrata,Bright Indirect,Medium,Medium,Yes,No,Large violin-shaped leaves.
dracaena_marginata,Dracaena Marginata,Dracaena marginata,Asparagaceae,Indoor Plant,Foliage,Dracaena,marginata,Bright Indirect,Low,Easy,Yes,No,Narrow arching leaves with red edges.
dracaena_fragrans,Dracaena Fragrans,Dracaena fragrans,Asparagaceae,Indoor Plant,Foliage,Dracaena,fragrans,Low to Bright,Low,Easy,Yes,No,Corn plant with attractive striped foliage.
dracaena_compacta,Dracaena Compacta,Dracaena compacta,Asparagaceae,Indoor Plant,Foliage,Dracaena,compacta,Low to Bright,Low,Easy,Yes,No,Compact slow-growing indoor plant.
lucky_bamboo,Lucky Bamboo,Dracaena sanderiana,Asparagaceae,Indoor Plant,Feng Shui,Dracaena,sanderiana,Bright Indirect,Medium,Easy,Yes,No,Popular Feng Shui lucky plant.
areca_palm,Areca Palm,Dypsis lutescens,Arecaceae,Indoor Plant,Palm,Dypsis,lutescens,Bright Indirect,Medium,Easy,Yes,Yes,Elegant indoor palm.
parlor_palm,Parlor Palm,Chamaedorea elegans,Arecaceae,Indoor Plant,Palm,Chamaedorea,elegans,Low to Bright,Medium,Easy,Yes,Yes,Compact shade-loving palm.
kentia_palm,Kentia Palm,Howea forsteriana,Arecaceae,Indoor Plant,Palm,Howea,forsteriana,Bright Indirect,Medium,Medium,Yes,Yes,Graceful premium indoor palm.
boston_fern,Boston Fern,Nephrolepis exaltata,Lomariopsidaceae,Indoor Plant,Fern,Nephrolepis,exaltata,Bright Indirect,High,Medium,Yes,Yes,Lush arching fern for humid interiors.
calathea_orbifolia,Calathea Orbifolia,Goeppertia orbifolia,Marantaceae,Indoor Plant,Foliage,Goeppertia,orbifolia,Bright Indirect,High,Medium,Yes,No,Large silver-striped foliage.
calathea_makoyana,Calathea Makoyana,Goeppertia makoyana,Marantaceae,Indoor Plant,Foliage,Goeppertia,makoyana,Bright Indirect,High,Medium,Yes,No,Peacock patterned leaves.
calathea_medallion,Calathea Medallion,Goeppertia veitchiana,Marantaceae,Indoor Plant,Foliage,Goeppertia,veitchiana,Bright Indirect,High,Medium,Yes,No,Round decorative foliage.
calathea_rattlesnake,Calathea Rattlesnake,Goeppertia lancifolia,Marantaceae,Indoor Plant,Foliage,Goeppertia,lancifolia,Bright Indirect,High,Medium,Yes,No,Long wavy patterned leaves.
maranta_red,Red Prayer Plant,Maranta leuconeura var. erythroneura,Marantaceae,Indoor Plant,Foliage,Maranta,leuconeura,Bright Indirect,High,Medium,Yes,No,Leaves fold at night.
maranta_lemon,Lemon Lime Prayer Plant,Maranta leuconeura 'Lemon Lime',Marantaceae,Indoor Plant,Foliage,Maranta,leuconeura,Bright Indirect,High,Medium,Yes,No,Bright lime veined foliage.
fittonia_white,White Nerve Plant,Fittonia albivenis,Acanthaceae,Indoor Plant,Foliage,Fittonia,albivenis,Bright Indirect,High,Medium,Yes,No,White veined miniature foliage.
fittonia_red,Red Nerve Plant,Fittonia albivenis,Acanthaceae,Indoor Plant,Foliage,Fittonia,albivenis,Bright Indirect,High,Medium,Yes,No,Red veined foliage.
fittonia_pink,Pink Nerve Plant,Fittonia albivenis,Acanthaceae,Indoor Plant,Foliage,Fittonia,albivenis,Bright Indirect,High,Medium,Yes,No,Pink veined compact plant.
syngonium_white,White Butterfly Syngonium,Syngonium podophyllum,Araceae,Indoor Plant,Foliage,Syngonium,podophyllum,Bright Indirect,Medium,Easy,Yes,No,Arrowhead vine.
syngonium_pink,Pink Syngonium,Syngonium podophyllum 'Neon',Araceae,Indoor Plant,Foliage,Syngonium,podophyllum,Bright Indirect,Medium,Easy,Yes,No,Pink arrowhead foliage.
syngonium_albo,Syngonium Albo,Syngonium podophyllum 'Albo',Araceae,Indoor Plant,Foliage,Syngonium,podophyllum,Bright Indirect,Medium,Medium,Yes,No,White variegated leaves.
peperomia_obtusifolia,Baby Rubber Plant,Peperomia obtusifolia,Piperaceae,Indoor Plant,Foliage,Peperomia,obtusifolia,Bright Indirect,Low,Easy,Yes,No,Glossy succulent foliage.
peperomia_argyreia,Watermelon Peperomia,Peperomia argyreia,Piperaceae,Indoor Plant,Foliage,Peperomia,argyreia,Bright Indirect,Medium,Easy,Yes,No,Watermelon patterned leaves.
peperomia_caperata,Ripple Peperomia,Peperomia caperata,Piperaceae,Indoor Plant,Foliage,Peperomia,caperata,Bright Indirect,Medium,Easy,Yes,No,Ripple textured foliage.
pilea_peperomioides,Chinese Money Plant,Pilea peperomioides,Urticaceae,Indoor Plant,Foliage,Pilea,peperomioides,Bright Indirect,Medium,Easy,Yes,No,Round coin-shaped leaves.
pilea_moon_valley,Moon Valley Pilea,Pilea mollis,Urticaceae,Indoor Plant,Foliage,Pilea,mollis,Bright Indirect,Medium,Easy,Yes,No,Deep textured foliage.
english_ivy,English Ivy,Hedera helix,Araliaceae,Indoor Plant,Climber,Hedera,helix,Bright Indirect,Medium,Easy,Yes,No,Classic trailing vine.
algerian_ivy,Algerian Ivy,Hedera canariensis,Araliaceae,Indoor Plant,Climber,Hedera,canariensis,Bright Indirect,Medium,Easy,Yes,No,Large leaf ivy.
hoya_carnosa,Wax Plant,Hoya carnosa,Apocynaceae,Indoor Plant,Flowering,Hoya,carnosa,Bright Indirect,Low,Easy,Yes,No,Waxy fragrant flowers.
hoya_krimson_queen,Hoya Krimson Queen,Hoya carnosa 'Krimson Queen',Apocynaceae,Indoor Plant,Foliage,Hoya,carnosa,Bright Indirect,Low,Medium,Yes,No,Variegated wax plant.
hoya_pubicalyx,Hoya Pubicalyx,Hoya pubicalyx,Apocynaceae,Indoor Plant,Flowering,Hoya,pubicalyx,Bright Indirect,Low,Medium,Yes,No,Star-shaped flowers.
anthurium_andraeanum,Flamingo Lily,Anthurium andraeanum,Araceae,Indoor Plant,Flowering,Anthurium,andraeanum,Bright Indirect,Medium,Medium,Yes,No,Glossy leaves with colorful spathes.
anthurium_clarinervium,Anthurium Clarinervium,Anthurium clarinervium,Araceae,Indoor Plant,Foliage,Anthurium,clarinervium,Bright Indirect,Medium,Medium,Yes,No,Velvety heart-shaped leaves.
alocasia_amazonica,Alocasia Amazonica,Alocasia × amazonica,Araceae,Indoor Plant,Foliage,Alocasia,amazonica,Bright Indirect,Medium,Medium,Yes,No,Dramatic dark foliage.
alocasia_polly,Alocasia Polly,Alocasia × amazonica 'Polly',Araceae,Indoor Plant,Foliage,Alocasia,amazonica,Bright Indirect,Medium,Medium,Yes,No,Compact African mask plant.
alocasia_zebrina,Alocasia Zebrina,Alocasia zebrina,Araceae,Indoor Plant,Foliage,Alocasia,zebrina,Bright Indirect,Medium,Medium,Yes,No,Zebra-striped stems.
colocasia_esculenta,Elephant Ear,Colocasia esculenta,Araceae,Tropical Plant,Foliage,Colocasia,esculenta,Full Sun,High,Easy,No,Yes,Large ornamental leaves.
begonia_maculata,Polka Dot Begonia,Begonia maculata,Begoniaceae,Indoor Plant,Foliage,Begonia,maculata,Bright Indirect,Medium,Medium,Yes,No,Silver spotted leaves.
begonia_rex,Rex Begonia,Begonia rex,Begoniaceae,Indoor Plant,Foliage,Begonia,rex,Bright Indirect,Medium,Medium,Yes,No,Highly colorful foliage.
tradescantia_zebrina,Tradescantia Zebrina,Tradescantia zebrina,Commelinaceae,Indoor Plant,Trailing,Tradescantia,zebrina,Bright Indirect,Medium,Easy,Yes,No,Purple striped trailing plant.
tradescantia_nanouk,Tradescantia Nanouk,Tradescantia albiflora 'Nanouk',Commelinaceae,Indoor Plant,Trailing,Tradescantia,albiflora,Bright Indirect,Medium,Easy,Yes,No,Pink and green variegated foliage.
tradescantia_pallida,Purple Heart,Tradescantia pallida,Commelinaceae,Outdoor Plant,Ground Cover,Tradescantia,pallida,Full Sun,Low,Easy,No,Yes,Purple ornamental ground cover.
oxalis_triangularis,Purple Shamrock,Oxalis triangularis,Oxalidaceae,Indoor Plant,Foliage,Oxalis,triangularis,Bright Indirect,Medium,Easy,Yes,No,Butterfly-like purple leaves.
chlorophytum_variegatum,Variegated Spider Plant,Chlorophytum comosum 'Variegatum',Asparagaceae,Indoor Plant,Foliage,Chlorophytum,comosum,Bright Indirect,Medium,Easy,Yes,Yes,Classic air-purifying plant.
chlorophytum_vittatum,Spider Plant Vittatum,Chlorophytum comosum 'Vittatum',Asparagaceae,Indoor Plant,Foliage,Chlorophytum,comosum,Bright Indirect,Medium,Easy,Yes,Yes,White striped foliage.
aspidistra_elatior,Cast Iron Plant,Aspidistra elatior,Asparagaceae,Indoor Plant,Foliage,Aspidistra,elatior,Low Light,Low,Easy,Yes,No,Extremely tough indoor plant.
spathiphyllum_sensation,Peace Lily Sensation,Spathiphyllum 'Sensation',Araceae,Indoor Plant,Flowering,Spathiphyllum,Sensation,Bright Indirect,Medium,Medium,Yes,No,Largest peace lily cultivar.
spathiphyllum_picasso,Peace Lily Picasso,Spathiphyllum 'Picasso',Araceae,Indoor Plant,Foliage,Spathiphyllum,Picasso,Bright Indirect,Medium,Medium,Yes,No,Rare variegated peace lily.
ficus_benjamina,Weeping Fig,Ficus benjamina,Moraceae,Indoor Plant,Tree,Ficus,benjamina,Bright Indirect,Medium,Medium,Yes,No,Classic indoor tree.
ficus_microcarpa,Ficus Ginseng,Ficus microcarpa,Moraceae,Bonsai,Bonsai,Ficus,microcarpa,Bright Indirect,Medium,Medium,Yes,No,Popular bonsai species.
ficus_altissima,Ficus Altissima,Ficus altissima,Moraceae,Indoor Plant,Foliage,Ficus,altissima,Bright Indirect,Medium,Medium,Yes,No,Yellow-green variegated foliage.
ficus_audrey,Ficus Audrey,Ficus benghalensis,Moraceae,Indoor Plant,Tree,Ficus,benghalensis,Bright Indirect,Medium,Medium,Yes,No,Indian banyan grown indoors.
schefflera_arboricola,Dwarf Umbrella Tree,Schefflera arboricola,Araliaceae,Indoor Plant,Tree,Schefflera,arboricola,Bright Indirect,Medium,Easy,Yes,No,Umbrella-shaped foliage.
schefflera_actinophylla,Umbrella Tree,Schefflera actinophylla,Araliaceae,Indoor Plant,Tree,Schefflera,actinophylla,Bright Indirect,Medium,Medium,Yes,No,Tall tropical ornamental.
nolina_recurvata,Ponytail Palm,Beaucarnea recurvata,Asparagaceae,Succulent,Caudiciform,Beaucarnea,recurvata,Bright Light,Low,Easy,Yes,No,Swollen trunk stores water.
yucca_elephantipes,Spineless Yucca,Yucca elephantipes,Asparagaceae,Indoor Plant,Tree,Yucca,elephantipes,Bright Light,Low,Easy,Yes,No,Architectural foliage plant.
dracaena_reflexa,Song of India,Dracaena reflexa,Asparagaceae,Indoor Plant,Foliage,Dracaena,reflexa,Bright Indirect,Medium,Easy,Yes,No,Yellow-edged narrow leaves.
dracaena_surculosa,Gold Dust Dracaena,Dracaena surculosa,Asparagaceae,Indoor Plant,Foliage,Dracaena,surculosa,Bright Indirect,Medium,Easy,Yes,No,Yellow spotted foliage.
chamaedorea_seifrizii,Bamboo Palm,Chamaedorea seifrizii,Arecaceae,Indoor Plant,Palm,Chamaedorea,seifrizii,Bright Indirect,Medium,Easy,Yes,Yes,Excellent indoor air purifier.
rhapis_excelsa,Lady Palm,Rhapis excelsa,Arecaceae,Indoor Plant,Palm,Rhapis,excelsa,Bright Indirect,Medium,Medium,Yes,Yes,Elegant fan palm.
livistona_chinensis,Chinese Fan Palm,Livistona chinensis,Arecaceae,Palm,Palm,Livistona,chinensis,Full Sun,Medium,Medium,No,Yes,Slow growing landscape palm.
phoenix_roebelenii,Pygmy Date Palm,Phoenix roebelenii,Arecaceae,Palm,Palm,Phoenix,roebelenii,Full Sun,Medium,Medium,No,Yes,Compact ornamental palm.
caryota_mitis,Fishtail Palm,Caryota mitis,Arecaceae,Palm,Palm,Caryota,mitis,Bright Indirect,Medium,Medium,No,Yes,Distinct fishtail shaped leaves.
dypsis_decaryi,Triangle Palm,Dypsis decaryi,Arecaceae,Palm,Palm,Dypsis,decaryi,Full Sun,Medium,Medium,No,Yes,Unique triangular trunk arrangement.
neoregelia_carolinae,Blushing Bromeliad,Neoregelia carolinae,Bromeliaceae,Bromeliad,Bromeliad,Neoregelia,carolinae,Bright Indirect,Medium,Easy,Yes,No,Rosy central rosette.
guzmania_lingulata,Guzmania,Guzmania lingulata,Bromeliaceae,Bromeliad,Bromeliad,Guzmania,lingulata,Bright Indirect,Medium,Easy,Yes,No,Long-lasting colorful bracts.
vriesea_splendens,Flaming Sword,Vriesea splendens,Bromeliaceae,Bromeliad,Bromeliad,Vriesea,splendens,Bright Indirect,Medium,Medium,Yes,No,Striped leaves with red flower spike.
aechmea_fasciata,Silver Vase Plant,Aechmea fasciata,Bromeliaceae,Bromeliad,Bromeliad,Aechmea,fasciata,Bright Indirect,Medium,Medium,Yes,No,Silver foliage and pink bloom.
cryptanthus_bivittatus,Earth Star,Cryptanthus bivittatus,Bromeliaceae,Bromeliad,Bromeliad,Cryptanthus,bivittatus,Bright Indirect,Medium,Easy,Yes,No,Star-shaped colorful rosette.
phalaenopsis_white,Moth Orchid White,Phalaenopsis amabilis,Orchidaceae,Orchid,Flowering,Phalaenopsis,amabilis,Bright Indirect,Medium,Medium,Yes,No,Classic white flowering orchid.
phalaenopsis_pink,Pink Moth Orchid,Phalaenopsis aphrodite,Orchidaceae,Orchid,Flowering,Phalaenopsis,aphrodite,Bright Indirect,Medium,Medium,Yes,No,Long lasting pink blooms.
phalaenopsis_yellow,Yellow Moth Orchid,Phalaenopsis equestris,Orchidaceae,Orchid,Flowering,Phalaenopsis,equestris,Bright Indirect,Medium,Medium,Yes,No,Compact yellow flowering orchid.
dendrobium_nobile,Dendrobium Orchid,Dendrobium nobile,Orchidaceae,Orchid,Flowering,Dendrobium,nobile,Bright Indirect,Medium,Medium,Yes,No,Popular cane orchid.
dendrobium_phalaenopsis,Dendrobium Phalaenopsis,Dendrobium bigibbum,Orchidaceae,Orchid,Flowering,Dendrobium,bigibbum,Bright Indirect,Medium,Medium,Yes,No,Ever-blooming orchid.
oncidium_sharry_baby,Oncidium Sharry Baby,Oncidium Sharry Baby,Orchidaceae,Orchid,Flowering,Oncidium,Sharry Baby,Bright Indirect,Medium,Medium,Yes,No,Chocolate scented orchid.
oncidium_twinkle,Oncidium Twinkle,Oncidium Twinkle,Orchidaceae,Orchid,Flowering,Oncidium,Twinkle,Bright Indirect,Medium,Medium,Yes,No,Mini fragrant orchid.
cattleya_labiata,Cattleya Orchid,Cattleya labiata,Orchidaceae,Orchid,Flowering,Cattleya,labiata,Bright Indirect,Medium,Medium,Yes,No,Large fragrant flowers.
vanda_coerulea,Blue Vanda,Vanda coerulea,Orchidaceae,Orchid,Flowering,Vanda,coerulea,Bright Light,Medium,Hard,Yes,No,Rare blue orchid.
vanda_tricolor,Vanda Tricolor,Vanda tricolor,Orchidaceae,Orchid,Flowering,Vanda,tricolor,Bright Light,Medium,Hard,Yes,No,Beautiful tropical orchid.
cymbidium_ensifolium,Cymbidium Orchid,Cymbidium ensifolium,Orchidaceae,Orchid,Flowering,Cymbidium,ensifolium,Bright Light,Medium,Medium,Yes,No,Cool climate orchid.
paphiopedilum_insigne,Lady Slipper Orchid,Paphiopedilum insigne,Orchidaceae,Orchid,Flowering,Paphiopedilum,insigne,Bright Indirect,Medium,Medium,Yes,No,Unique slipper flowers.
miltoniopsis_hybrid,Pansy Orchid,Miltoniopsis hybrid,Orchidaceae,Orchid,Flowering,Miltoniopsis,hybrid,Bright Indirect,Medium,Medium,Yes,No,Pansy-like blooms.
ludisia_discolor,Jewel Orchid,Ludisia discolor,Orchidaceae,Indoor Plant,Foliage,Ludisia,discolor,Low Light,Medium,Easy,Yes,No,Grown for velvety leaves.
tillandsia_ionantha,Sky Plant,Tillandsia ionantha,Bromeliaceae,Air Plant,Epiphyte,Tillandsia,ionantha,Bright Indirect,Low,Easy,Yes,No,Popular air plant.
tillandsia_xerographica,Xerographica,Tillandsia xerographica,Bromeliaceae,Air Plant,Epiphyte,Tillandsia,xerographica,Bright Indirect,Low,Medium,Yes,No,Large silver air plant.
tillandsia_caput_medusae,Caput Medusae,Tillandsia caput-medusae,Bromeliaceae,Air Plant,Epiphyte,Tillandsia,caput-medusae,Bright Indirect,Low,Easy,Yes,No,Medusa-like foliage.
tillandsia_bulbosa,Bulbosa Air Plant,Tillandsia bulbosa,Bromeliaceae,Air Plant,Epiphyte,Tillandsia,bulbosa,Bright Indirect,Low,Easy,Yes,No,Bulb-shaped base.
tillandsia_stricta,Tillandsia Stricta,Tillandsia stricta,Bromeliaceae,Air Plant,Epiphyte,Tillandsia,stricta,Bright Indirect,Low,Easy,Yes,No,Purple flowering air plant.
platycerium_bifurcatum,Staghorn Fern,Platycerium bifurcatum,Polypodiaceae,Fern,Fern,Platycerium,bifurcatum,Bright Indirect,High,Medium,Yes,No,Mounted ornamental fern.
adiantum_raddianum,Maidenhair Fern,Adiantum raddianum,Pteridaceae,Fern,Fern,Adiantum,raddianum,Bright Indirect,High,Medium,Yes,No,Delicate fine foliage.
asplenium_nidus,Birds Nest Fern,Asplenium nidus,Aspleniaceae,Fern,Fern,Asplenium,nidus,Bright Indirect,High,Easy,Yes,No,Broad wavy fronds.
blechnum_gibbum,Silver Lady Fern,Blechnum gibbum,Blechnaceae,Fern,Fern,Blechnum,gibbum,Bright Indirect,High,Medium,Yes,No,Compact tree fern.
davallia_fejeensis,Rabbit Foot Fern,Davallia fejeensis,Davalliaceae,Fern,Fern,Davallia,fejeensis,Bright Indirect,High,Medium,Yes,No,Furry rhizomes.
pteris_cretica,Cretan Brake Fern,Pteris cretica,Pteridaceae,Fern,Fern,Pteris,cretica,Bright Indirect,High,Easy,Yes,No,Variegated fern.
cyrtomium_falcatum,Japanese Holly Fern,Cyrtomium falcatum,Dryopteridaceae,Fern,Fern,Cyrtomium,falcatum,Bright Indirect,Medium,Easy,Yes,No,Glossy evergreen fronds.
microsorum_musifolium,Crocodile Fern,Microsorum musifolium,Polypodiaceae,Fern,Fern,Microsorum,musifolium,Bright Indirect,High,Easy,Yes,No,Crocodile patterned foliage.
selaginella_kraussiana,Spike Moss,Selaginella kraussiana,Selaginellaceae,Fern Ally,Ground Cover,Selaginella,kraussiana,Low Light,High,Easy,Yes,No,Soft moss-like foliage.
nephrolepis_cordifolia,Tuberous Sword Fern,Nephrolepis cordifolia,Lomariopsidaceae,Fern,Fern,Nephrolepis,cordifolia,Bright Indirect,High,Easy,Yes,No,Hardy ornamental fern.
haworthia_attenuata,Zebra Haworthia,Haworthiopsis attenuata,Asphodelaceae,Succulent,Succulent,Haworthiopsis,attenuata,Bright Indirect,Low,Easy,Yes,No,White striped succulent.
haworthia_fasciata,Zebra Plant,Haworthiopsis fasciata,Asphodelaceae,Succulent,Succulent,Haworthiopsis,fasciata,Bright Indirect,Low,Easy,Yes,No,Compact striped succulent.
haworthia_cooperi,Cooper Haworthia,Haworthia cooperi,Asphodelaceae,Succulent,Succulent,Haworthia,cooperi,Bright Indirect,Low,Easy,Yes,No,Transparent leaf tips.
haworthia_limifolia,Fairy Washboard,Haworthia limifolia,Asphodelaceae,Succulent,Succulent,Haworthia,limifolia,Bright Indirect,Low,Easy,Yes,No,Ridged textured leaves.
haworthia_reinwardtii,Haworthia Reinwardtii,Haworthiopsis reinwardtii,Asphodelaceae,Succulent,Succulent,Haworthiopsis,reinwardtii,Bright Indirect,Low,Easy,Yes,No,Upright striped succulent.
gasteria_bicolor,Gasteria Bicolor, Gasteria bicolor,Asphodelaceae,Succulent,Succulent,Gasteria,bicolor,Bright Indirect,Low,Easy,Yes,No,Thick spotted leaves.
gasteria_liliputana,Mini Gasteria,Gasteria liliputana,Asphodelaceae,Succulent,Succulent,Gasteria,liliputana,Bright Indirect,Low,Easy,Yes,No,Dwarf succulent.
gasteria_verrucosa,Ox Tongue,Gasteria verrucosa,Asphodelaceae,Succulent,Succulent,Gasteria,verrucosa,Bright Indirect,Low,Easy,Yes,No,Rough textured foliage.
aloe_aristata,Lace Aloe,Aristaloe aristata,Asphodelaceae,Succulent,Succulent,Aristaloe,aristata,Bright Light,Low,Easy,Yes,No,Small rosette aloe.
aloe_brevifolia,Short Leaf Aloe,Aloe brevifolia,Asphodelaceae,Succulent,Succulent,Aloe,brevifolia,Bright Light,Low,Easy,Yes,No,Compact blue aloe.
